,0,1,2,3,4,5,6,7,8,9
0,szse.002152,sse.601318,szse.000028,szse.000513,szse.002035,szse.000636,szse.000651,szse.002233,szse.002511,szse.002461
1,szse.002475,sse.600332,szse.000028,szse.002152,szse.002449,szse.300115,sse.600183,szse.300014,szse.002303,szse.002233
2,szse.002461,szse.002233,szse.002138,szse.002475,szse.000513,szse.300014,sse.600183,sse.600325,szse.002035,szse.002511
3,szse.002035,szse.002303,szse.000049,szse.001914,szse.000069,szse.000636,szse.000921,szse.300115,sse.600325,sse.600332
4,sse.600383,szse.002461,sse.600048,szse.000028,szse.000651,szse.000513,szse.002138,sse.600872,szse.002233,szse.002475
5,szse.002352,sse.601318,szse.000636,sse.600325,szse.002475,szse.002461,szse.002449,szse.002060,sse.600183,szse.000921
6,szse.002449,szse.000513,szse.002035,szse.000028,szse.002303,sse.600325,szse.000651,szse.000921,szse.002027,szse.002138
7,szse.002060,sse.600323,sse.601318,sse.600383,szse.000028,szse.002511,sse.600048,szse.002152,szse.000069,szse.000921
8,szse.002138,szse.002449,szse.002152,szse.300115,szse.002475,szse.002303,szse.002461,szse.002511,szse.002352,szse.000028
9,szse.002233,sse.600325,sse.601318,szse.002060,sse.600383,sse.600048,sse.600332,sse.600872,szse.002352,szse.000513
10,sse.601318,szse.300115,szse.002449,szse.000921,szse.300014,sse.600323,szse.000651,szse.002511,szse.002035,sse.600048
11,szse.002475,szse.002060,szse.002449,szse.000028,szse.002152,sse.600872,sse.600332,szse.300014,szse.002461,szse.002352
12,szse.002035,szse.002475,sse.600332,szse.002449,szse.002511,szse.300014,sse.600323,szse.000636,szse.002152,szse.002060
13,szse.300115,szse.000513,sse.600183,sse.600872,szse.002461,szse.000069,szse.000028,szse.002152,sse.600323,szse.002475
14,szse.002138,sse.600325,szse.001914,szse.002352,szse.000513,szse.002449,szse.002303,szse.000651,szse.000636,szse.000049
15,szse.000636,sse.601318,szse.002449,szse.000049,sse.600323,szse.002352,sse.600872,sse.600325,sse.600383,szse.002152
16,szse.002138,szse.002511,szse.002461,sse.600872,sse.600332,szse.002449,szse.002152,szse.002035,szse.002027,szse.000921
17,szse.000636,szse.002449,szse.000513,szse.002352,sse.601318,sse.600183,sse.600323,szse.000921,szse.000651,szse.000069
18,sse.600332,szse.002303,szse.000513,szse.300115,szse.000049,sse.600323,szse.002461,szse.002138,sse.601318,sse.600183
19,szse.300115,szse.002449,szse.002233,sse.600325,szse.002511,szse.000921,szse.001914,szse.000028,szse.300014,szse.000069
